drug_name,condition,review,rating,date,useful_count
Ibuprofen,Fluid Retention,I had to adjust the dosage a few times but now it works perfectly.,2,2020-02-17,176
Hydrochlorothiazide,High Cholesterol,I had to adjust the dosage a few times but now it works perfectly.,3,2020-02-17,167
Amlodipine,Fluid Retention,I have been on this for 3 months now with good results.,10,2020-02-18,196
Omeprazole,Type 2 Diabetes,Great improvement in my condition since starting this drug.,7,2020-02-18,36
Metformin,Fluid Retention,My doctor recommended this and I am glad they did. Feeling much better.,9,2020-02-18,17
Gabapentin,GERD,No noticeable improvement after 6 weeks of use.,6,2020-02-19,34
Gabapentin,Chest Pain,Excellent medication with very few side effects in my experience.,6,2020-02-19,163
Amlodipine,Blood Pressure,Works well but I have to be careful about timing with meals.,3,2020-02-19,56
Metoprolol,Nerve Pain,This medication has been very effective for me with minimal side effects.,1,2020-02-20,75
Lisinopril,High Cholesterol,This drug changed my life. My symptoms are almost completely gone.,2,2020-02-20,197
Hydrochlorothiazide,High Cholesterol,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-02-20,27
Hydrochlorothiazide,Hypertension,Moderate improvement but the cost is quite high.,7,2020-02-21,17
Levothyroxine,High Cholesterol,Excellent medication with very few side effects in my experience.,6,2020-02-21,88
Sertraline,Type 2 Diabetes,Works well but I have to be careful about timing with meals.,7,2020-02-21,29
Prednisone,Type 2 Diabetes,This medication has been very effective for me with minimal side effects.,8,2020-02-22,154
Atorvastatin,Chest Pain,This medication has been very effective for me with minimal side effects.,5,2020-02-22,109
Losartan,Type 2 Diabetes,This medication has been very effective for me with minimal side effects.,2,2020-02-22,32
Hydrochlorothiazide,Chest Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-02-23,117
Lisinopril,Type 2 Diabetes,I experienced some dizziness at first but it went away after a week.,3,2020-02-23,51
Prednisone,High Cholesterol,This drug changed my life. My symptoms are almost completely gone.,7,2020-02-23,17
Metoprolol,Hypertension,Great improvement in my condition since starting this drug.,1,2020-02-24,167
Prednisone,GERD,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-02-24,2
Gabapentin,Pain,The generic version works just as well for me.,7,2020-02-24,192
Metoprolol,Chest Pain,Works well in combination with my other medications.,5,2020-02-25,79
Losartan,Pain,This medication has been very effective for me with minimal side effects.,5,2020-02-25,167
Atorvastatin,Asthma,Great improvement in my condition since starting this drug.,8,2020-02-25,107
Amlodipine,Bacterial Infection,Moderate improvement but the cost is quite high.,5,2020-02-26,98
Amoxicillin,Type 2 Diabetes,I experienced some dizziness at first but it went away after a week.,10,2020-02-26,22
Metoprolol,Chest Pain,This medication has been very effective for me with minimal side effects.,6,2020-02-26,127
Acetaminophen,Pain,Excellent medication with very few side effects in my experience.,4,2020-02-27,187
Omeprazole,Nerve Pain,Works well in combination with my other medications.,3,2020-02-27,66
Amlodipine,Heart Failure,Had an allergic reaction. Would not recommend without consulting doctor first.,7,2020-02-27,21
Gabapentin,Blood Pressure,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-02-28,41
Metoprolol,Inflammation,I experienced some dizziness at first but it went away after a week.,3,2020-02-28,117
Levothyroxine,High Cholesterol,The generic version works just as well for me.,8,2020-02-28,0
Hydrochlorothiazide,Blood Pressure,Works well in combination with my other medications.,7,2020-03-01,180
Ibuprofen,Blood Pressure,I had to adjust the dosage a few times but now it works perfectly.,6,2020-03-01,178
Ibuprofen,Blood Pressure,Great improvement in my condition since starting this drug.,3,2020-03-01,70
Lisinopril,Asthma,This drug changed my life. My symptoms are almost completely gone.,8,2020-03-02,104
Amoxicillin,Fluid Retention,I have been on this for 3 months now with good results.,9,2020-03-02,69
Ibuprofen,Depression,Works well but I have to be careful about timing with meals.,8,2020-03-02,119
Amoxicillin,Hypertension,Moderate improvement but the cost is quite high.,3,2020-03-03,148
Metformin,Hypothyroidism,"Side effects were too severe, had to switch medications.",6,2020-03-03,3
Metformin,Blood Pressure,I had to adjust the dosage a few times but now it works perfectly.,2,2020-03-03,130
Omeprazole,Fluid Retention,This drug changed my life. My symptoms are almost completely gone.,8,2020-03-04,77
Atorvastatin,High Cholesterol,"Side effects were too severe, had to switch medications.",6,2020-03-04,69
Ibuprofen,Chest Pain,Works well but I have to be careful about timing with meals.,1,2020-03-04,78
Acetaminophen,Blood Pressure,I had to adjust the dosage a few times but now it works perfectly.,7,2020-03-05,140
Atorvastatin,Hypertension,Great improvement in my condition since starting this drug.,2,2020-03-05,86
Ibuprofen,Hypothyroidism,The generic version works just as well for me.,5,2020-03-05,154
Acetaminophen,Inflammation,My doctor recommended this and I am glad they did. Feeling much better.,3,2020-03-06,91
Omeprazole,Depression,Excellent medication with very few side effects in my experience.,3,2020-03-06,4
Losartan,Hypothyroidism,No noticeable improvement after 6 weeks of use.,5,2020-03-06,72
Levothyroxine,Bacterial Infection,I experienced some dizziness at first but it went away after a week.,2,2020-03-07,25
Levothyroxine,Pain,This drug changed my life. My symptoms are almost completely gone.,8,2020-03-07,198
Amlodipine,Fluid Retention,Had an allergic reaction. Would not recommend without consulting doctor first.,2,2020-03-07,135
Atorvastatin,Nerve Pain,"Side effects were too severe, had to switch medications.",1,2020-03-08,171
Losartan,Chest Pain,Works well but I have to be careful about timing with meals.,4,2020-03-08,86
Levothyroxine,Depression,Excellent medication with very few side effects in my experience.,5,2020-03-08,128
Amoxicillin,Bacterial Infection,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-03-09,185
Lisinopril,Fluid Retention,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-03-09,150
Ibuprofen,Blood Pressure,Had an allergic reaction. Would not recommend without consulting doctor first.,1,2020-03-09,103
Losartan,GERD,Works well in combination with my other medications.,1,2020-03-10,88
Amoxicillin,Hypertension,Works well in combination with my other medications.,2,2020-03-10,11
Atorvastatin,Hypertension,Great improvement in my condition since starting this drug.,6,2020-03-10,79
Amlodipine,Hypothyroidism,No noticeable improvement after 6 weeks of use.,5,2020-03-11,21
Ibuprofen,Pain,Great improvement in my condition since starting this drug.,4,2020-03-11,7
Lisinopril,Pain,The generic version works just as well for me.,1,2020-03-11,79
Sertraline,Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,7,2020-03-12,1
Amoxicillin,Chest Pain,I have been on this for 3 months now with good results.,3,2020-03-12,25
Acetaminophen,Pain,Moderate improvement but the cost is quite high.,9,2020-03-12,98
Metformin,Type 2 Diabetes,"Side effects were too severe, had to switch medications.",3,2020-03-13,15
Acetaminophen,Chest Pain,I experienced some dizziness at first but it went away after a week.,10,2020-03-13,114
Hydrochlorothiazide,Bacterial Infection,This drug changed my life. My symptoms are almost completely gone.,10,2020-03-13,154
Prednisone,Type 2 Diabetes,I experienced some dizziness at first but it went away after a week.,2,2020-03-14,70
Metformin,Type 2 Diabetes,"Side effects were too severe, had to switch medications.",5,2020-03-14,121
Amoxicillin,Hypertension,"Side effects were too severe, had to switch medications.",2,2020-03-14,192
Acetaminophen,Nerve Pain,No noticeable improvement after 6 weeks of use.,2,2020-03-15,150
Amoxicillin,Nerve Pain,Excellent medication with very few side effects in my experience.,9,2020-03-15,106
Metformin,Inflammation,No noticeable improvement after 6 weeks of use.,2,2020-03-15,161
Ibuprofen,Blood Pressure,I had to adjust the dosage a few times but now it works perfectly.,3,2020-03-16,194
Metoprolol,Hypothyroidism,No noticeable improvement after 6 weeks of use.,10,2020-03-16,192
Metformin,Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-03-16,25
Sertraline,Hypothyroidism,Works well but I have to be careful about timing with meals.,8,2020-03-17,134
Metoprolol,Bacterial Infection,My doctor recommended this and I am glad they did. Feeling much better.,1,2020-03-17,160
Lisinopril,Hypertension,"Side effects were too severe, had to switch medications.",8,2020-03-17,87
Amlodipine,Heart Failure,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-03-18,180
Lisinopril,Type 2 Diabetes,I have been on this for 3 months now with good results.,3,2020-03-18,142
Hydrochlorothiazide,Hypothyroidism,Works well in combination with my other medications.,8,2020-03-18,133
Acetaminophen,Type 2 Diabetes,I have been on this for 3 months now with good results.,3,2020-03-19,199
Gabapentin,Depression,Excellent medication with very few side effects in my experience.,1,2020-03-19,183
Amlodipine,Nerve Pain,I experienced some dizziness at first but it went away after a week.,7,2020-03-19,27
Losartan,Type 2 Diabetes,Had an allergic reaction. Would not recommend without consulting doctor first.,9,2020-03-20,28
Ibuprofen,Depression,I have been on this for 3 months now with good results.,3,2020-03-20,33
Prednisone,Chest Pain,Moderate improvement but the cost is quite high.,10,2020-03-20,194
Sertraline,Hypothyroidism,The generic version works just as well for me.,5,2020-03-21,123
Gabapentin,Inflammation,I experienced some dizziness at first but it went away after a week.,9,2020-03-21,50
Gabapentin,Heart Failure,Works well in combination with my other medications.,4,2020-03-21,10
Gabapentin,Asthma,The generic version works just as well for me.,9,2020-03-22,27
Prednisone,Asthma,This medication has been very effective for me with minimal side effects.,3,2020-03-22,73
Hydrochlorothiazide,Type 2 Diabetes,Moderate improvement but the cost is quite high.,9,2020-03-22,93
Ibuprofen,Heart Failure,I have been on this for 3 months now with good results.,9,2020-03-23,8
Metformin,High Cholesterol,Moderate improvement but the cost is quite high.,5,2020-03-23,171
Amoxicillin,GERD,"Side effects were too severe, had to switch medications.",3,2020-03-23,54
Prednisone,Blood Pressure,Great improvement in my condition since starting this drug.,3,2020-03-24,31
Losartan,Depression,This medication has been very effective for me with minimal side effects.,7,2020-03-24,154
Levothyroxine,Inflammation,The generic version works just as well for me.,9,2020-03-24,90
Amoxicillin,Nerve Pain,Works well but I have to be careful about timing with meals.,7,2020-03-25,170
Gabapentin,Type 2 Diabetes,The generic version works just as well for me.,8,2020-03-25,174
Levothyroxine,Heart Failure,I experienced some dizziness at first but it went away after a week.,7,2020-03-25,158
Acetaminophen,Hypertension,"Side effects were too severe, had to switch medications.",10,2020-03-26,93
Acetaminophen,Pain,I had to adjust the dosage a few times but now it works perfectly.,3,2020-03-26,22
Metoprolol,Type 2 Diabetes,No noticeable improvement after 6 weeks of use.,2,2020-03-26,104
Prednisone,GERD,Works well in combination with my other medications.,3,2020-03-27,99
Lisinopril,Type 2 Diabetes,I have been on this for 3 months now with good results.,1,2020-03-27,55
Amlodipine,Heart Failure,This medication has been very effective for me with minimal side effects.,9,2020-03-27,196
Omeprazole,Asthma,Excellent medication with very few side effects in my experience.,3,2020-03-28,72
Amoxicillin,Chest Pain,No noticeable improvement after 6 weeks of use.,2,2020-03-28,158
Hydrochlorothiazide,Bacterial Infection,"Side effects were too severe, had to switch medications.",10,2020-03-28,35
Omeprazole,Fluid Retention,Works well in combination with my other medications.,5,2020-04-01,128
Lisinopril,Chest Pain,This medication has been very effective for me with minimal side effects.,1,2020-04-01,77
Prednisone,Hypertension,No noticeable improvement after 6 weeks of use.,7,2020-04-01,153
Ibuprofen,Inflammation,I experienced some dizziness at first but it went away after a week.,1,2020-04-02,80
Amoxicillin,Chest Pain,This medication has been very effective for me with minimal side effects.,3,2020-04-02,25
Metoprolol,Asthma,I experienced some dizziness at first but it went away after a week.,7,2020-04-02,121
Acetaminophen,Heart Failure,Excellent medication with very few side effects in my experience.,9,2020-04-03,99
Acetaminophen,GERD,The generic version works just as well for me.,4,2020-04-03,59
Levothyroxine,Bacterial Infection,I had to adjust the dosage a few times but now it works perfectly.,10,2020-04-03,84
Amlodipine,GERD,Had an allergic reaction. Would not recommend without consulting doctor first.,2,2020-04-04,23
Metformin,Heart Failure,This medication has been very effective for me with minimal side effects.,2,2020-04-04,194
Omeprazole,Asthma,I have been on this for 3 months now with good results.,7,2020-04-04,66
Ibuprofen,High Cholesterol,I have been on this for 3 months now with good results.,9,2020-04-05,149
Ibuprofen,Blood Pressure,Works well in combination with my other medications.,2,2020-04-05,81
Gabapentin,Chest Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-04-05,82
Acetaminophen,Inflammation,I had to adjust the dosage a few times but now it works perfectly.,2,2020-04-06,35
Hydrochlorothiazide,Inflammation,I experienced some dizziness at first but it went away after a week.,8,2020-04-06,126
Metoprolol,Inflammation,I experienced some dizziness at first but it went away after a week.,3,2020-04-06,59
Sertraline,Heart Failure,Excellent medication with very few side effects in my experience.,10,2020-04-07,127
Hydrochlorothiazide,Hypertension,My doctor recommended this and I am glad they did. Feeling much better.,6,2020-04-07,66
Atorvastatin,Blood Pressure,Works well in combination with my other medications.,1,2020-04-07,195
Levothyroxine,Inflammation,This drug changed my life. My symptoms are almost completely gone.,8,2020-04-08,41
Amlodipine,Pain,The generic version works just as well for me.,1,2020-04-08,39
Omeprazole,Inflammation,Works well but I have to be careful about timing with meals.,7,2020-04-08,194
Acetaminophen,Bacterial Infection,My doctor recommended this and I am glad they did. Feeling much better.,5,2020-04-09,108
Ibuprofen,Nerve Pain,I have been on this for 3 months now with good results.,3,2020-04-09,9
Metoprolol,Hypertension,I have been on this for 3 months now with good results.,2,2020-04-09,6
Gabapentin,Chest Pain,This medication has been very effective for me with minimal side effects.,9,2020-04-10,118
Lisinopril,Heart Failure,The generic version works just as well for me.,5,2020-04-10,193
Levothyroxine,Nerve Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,4,2020-04-10,123
Levothyroxine,Pain,This medication has been very effective for me with minimal side effects.,4,2020-04-11,25
Gabapentin,Heart Failure,Works well but I have to be careful about timing with meals.,4,2020-04-11,135
Metformin,Inflammation,Great improvement in my condition since starting this drug.,8,2020-04-11,75
Amoxicillin,Hypertension,Works well in combination with my other medications.,5,2020-04-12,128
Amoxicillin,Heart Failure,No noticeable improvement after 6 weeks of use.,8,2020-04-12,171
Atorvastatin,Blood Pressure,This medication has been very effective for me with minimal side effects.,3,2020-04-12,144
Atorvastatin,Heart Failure,Works well but I have to be careful about timing with meals.,7,2020-04-13,175
Hydrochlorothiazide,Blood Pressure,Great improvement in my condition since starting this drug.,8,2020-04-13,47
Hydrochlorothiazide,Fluid Retention,Works well in combination with my other medications.,5,2020-04-13,11
Gabapentin,Blood Pressure,The generic version works just as well for me.,5,2020-04-14,34
Metformin,Nerve Pain,Moderate improvement but the cost is quite high.,7,2020-04-14,174
Amlodipine,High Cholesterol,I have been on this for 3 months now with good results.,2,2020-04-14,180
Amlodipine,Heart Failure,"Side effects were too severe, had to switch medications.",9,2020-04-15,102
Gabapentin,Blood Pressure,No noticeable improvement after 6 weeks of use.,3,2020-04-15,91
Sertraline,High Cholesterol,"Side effects were too severe, had to switch medications.",9,2020-04-15,110
Acetaminophen,Fluid Retention,Works well in combination with my other medications.,8,2020-04-16,155
Metformin,Blood Pressure,I had to adjust the dosage a few times but now it works perfectly.,1,2020-04-16,67
Hydrochlorothiazide,Asthma,I had to adjust the dosage a few times but now it works perfectly.,9,2020-04-16,100
Sertraline,Hypothyroidism,"Side effects were too severe, had to switch medications.",3,2020-04-17,14
Acetaminophen,Heart Failure,Excellent medication with very few side effects in my experience.,6,2020-04-17,199
Amlodipine,GERD,This medication has been very effective for me with minimal side effects.,6,2020-04-17,6
Levothyroxine,Fluid Retention,Works well in combination with my other medications.,10,2020-04-18,197
Atorvastatin,Nerve Pain,"Side effects were too severe, had to switch medications.",10,2020-04-18,107
Acetaminophen,Hypertension,I had to adjust the dosage a few times but now it works perfectly.,6,2020-04-18,152
Amoxicillin,Nerve Pain,The generic version works just as well for me.,5,2020-04-19,198
Metformin,Heart Failure,"Side effects were too severe, had to switch medications.",6,2020-04-19,105
Gabapentin,Type 2 Diabetes,No noticeable improvement after 6 weeks of use.,8,2020-04-19,128
Sertraline,Asthma,I have been on this for 3 months now with good results.,8,2020-04-20,181
Metoprolol,Heart Failure,Works well but I have to be careful about timing with meals.,3,2020-04-20,111
Amoxicillin,Hypertension,This drug changed my life. My symptoms are almost completely gone.,1,2020-04-20,61
Amoxicillin,Inflammation,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-04-21,37
Amoxicillin,High Cholesterol,I have been on this for 3 months now with good results.,4,2020-04-21,103
Acetaminophen,Bacterial Infection,Great improvement in my condition since starting this drug.,8,2020-04-21,186
Amlodipine,High Cholesterol,This medication has been very effective for me with minimal side effects.,3,2020-04-22,44
Levothyroxine,High Cholesterol,I have been on this for 3 months now with good results.,2,2020-04-22,27
